fee_id,am,am_f,am_m,bc,bc_n,bc_g,na,na_f,na_m,jc,jc_g,jc_m,jc_o,jc_s,kw,kw_j,kw_m,kw_u,ma,ma_n,ma_f,ma_g,ma_m,ma_i,ma_p,ma_s,ow,sa,un,un_n,un_m,up,ur,vs,vs_n,vs_f,vs_g,vs_m,vs_p,vs_s,card_code
75,-1,-1,-1,-1,-1,-1,10000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2928
76,-1,-1,-1,-1,-1,-1,100000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,110000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2979
77,-1,-1,-1,-1,-1,-1,100000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,110000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2981
78,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,32000,-1,-1,-1,-1,35000,-1,-1,-1,-1,-1,-1,2992
79,-1,-1,-1,-1,-1,-1,15000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18000,-1,-1,-1,-1,-1,-1,3046
80,-1,-1,-1,5000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7000,-1,-1,-1,-1,-1,-1,3065
81,-1,-1,-1,-1,-1,-1,10000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3103
82,-1,-1,-1,-1,-1,-1,2000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3144
83,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3171
84,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15000,-1,-1,-1,20000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3204
85,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12000,-1,6000,-1,15000,-1,-1,-1,9000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3251
86,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3286
87,235000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,230000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3294
88,235000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,230000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3295
89,235000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,230000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3296
90,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3329
91,-1,-1,-1,-1,-1,-1,10000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3340
92,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10000,-1,4000,-1,12000,-1,-1,-1,6000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3350
93,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3351
94,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23000,-1,-1,-1,-1,-1,-1,-1,-1,20000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3374
